  100    0 4.600000000E+09
 1006    0    0    0    0    0    0    0    0
 3.793135178E+02 3.798120469E+02 3.803120382E+02 3.808120313E+02 3.813134538E+02
 3.818134367E+02 3.823134231E+02 3.828134101E+02 3.833133977E+02 3.838133857E+02
 3.843133741E+02 3.848133628E+02 3.853133516E+02 3.858133406E+02 3.863133297E+02
 3.868133186E+02 3.873133075E+02 3.878132961E+02 3.883132845E+02 3.888132725E+02
 3.893132600E+02 3.898132471E+02 3.903132335E+02 3.908119186E+02 3.913119111E+02
 3.918131901E+02 3.923131715E+02 3.928131536E+02 3.933131347E+02 3.938131145E+02
 3.943130931E+02 3.948118662E+02 3.953118574E+02 3.958130219E+02 3.963129932E+02
 3.968129643E+02 3.973129337E+02 3.978129013E+02 3.983128670E+02 3.988128309E+02
 3.993127928E+02 3.998127529E+02 4.003127111E+02 4.008126675E+02 4.013126221E+02
 4.018117440E+02 4.023117332E+02 4.028120195E+02 4.033124241E+02 4.038123711E+02
 4.043123175E+02 4.048122633E+02 4.053122088E+02 4.058116624E+02 4.063116525E+02
 4.068120470E+02 4.073119948E+02 4.078119447E+02 4.083118971E+02 4.088118527E+02
 4.093118120E+02 4.098115957E+02 4.103115902E+02 4.108117202E+02 4.113117023E+02
 4.118116922E+02 4.123116908E+02 4.128116990E+02 4.133117176E+02 4.138115862E+02
 4.143115921E+02 4.148124934E+02 4.153127087E+02 4.158129650E+02 4.163120940E+02
 4.168122080E+02 4.173123380E+02 4.178116936E+02 4.183117161E+02 4.188154438E+02
 4.193160001E+02 4.198166196E+02 4.203172855E+02 4.208137128E+02 4.213187952E+02
 4.218119274E+02 4.223119304E+02 4.228119508E+02 4.233223310E+02 4.238231522E+02
 4.243241436E+02 4.248161261E+02 4.253164709E+02 4.258168027E+02 4.263118825E+02
 4.268117526E+02 4.273177451E+02 4.278180267E+02 4.283182787E+02 4.288184938E+02
 4.293186609E+02 4.298187664E+02 4.303187924E+02 4.308187151E+02 4.313185026E+02
 4.318181098E+02 4.323174707E+02 4.328164852E+02 4.333149934E+02 4.338127250E+02
 4.342754376E+02 4.348174139E+02 4.353170979E+02 4.358065331E+02 4.362929258E+02
 4.367919482E+02 4.372844466E+02 4.377893557E+02 4.382917026E+02 4.387914705E+02
 4.392913672E+02 4.397914588E+02 4.402916040E+02 4.407917533E+02 4.412918895E+02
 4.417920078E+02 4.422921083E+02 4.427921927E+02 4.432922634E+02 4.437925592E+02
 4.442923724E+02 4.447924131E+02 4.452924479E+02 4.457924773E+02 4.462925021E+02
 4.467925233E+02 4.472925413E+02 4.477925568E+02 4.482925701E+02 4.487925816E+02
 4.492925915E+02 4.497926002E+02 4.502926078E+02 4.507926392E+02 4.512925731E+02
 4.517926239E+02 4.522926284E+02 4.527926105E+02 4.532924796E+02 4.537925139E+02
 4.542925451E+02 4.547926392E+02 4.552925990E+02 4.557926225E+02 4.562926438E+02
 4.567926632E+02 4.572926807E+02 4.577926966E+02 4.582926563E+02 4.587926690E+02
 4.592927257E+02 4.597927290E+02 4.602927319E+02 4.607927344E+02 4.612926570E+02
 4.617927271E+02 4.622927395E+02 4.627927409E+02 4.632927422E+02 4.637927435E+02
 4.642927447E+02 4.647927460E+02 4.652927474E+02 4.657927489E+02 4.662927506E+02
 4.667926530E+02 4.672927873E+02 4.677926957E+02 4.682928432E+02 4.687928691E+02
 4.692928922E+02 4.697929128E+02 4.702929310E+02 4.707929471E+02 4.712926685E+02
 4.717930939E+02 4.722931619E+02 4.727931508E+02 4.732926776E+02 4.737930760E+02
 4.742931170E+02 4.747926757E+02 4.752929439E+02 4.757930851E+02 4.762930768E+02
 4.767930698E+02 4.772930640E+02 4.777930591E+02 4.782926737E+02 4.787930199E+02
 4.792930471E+02 4.797930436E+02 4.802927102E+02 4.807930358E+02 4.812930320E+02
 4.817926727E+02 4.822927316E+02 4.827926530E+02 4.832930217E+02 4.837929985E+02
 4.842929888E+02 4.847929804E+02 4.852929732E+02 4.857927749E+02 4.862929615E+02
 4.867929570E+02 4.872929532E+02 4.877927737E+02 4.882929468E+02 4.887929442E+02
 4.892929420E+02 4.897929400E+02 4.902926499E+02 4.907929458E+02 4.912929210E+02
 4.917929122E+02 4.922929040E+02 4.927928962E+02 4.932927582E+02 4.937928823E+02
 4.942928762E+02 4.947928705E+02 4.952928653E+02 4.957926627E+02 4.962928574E+02
 4.967928525E+02 4.972926900E+02 4.977622147E+02 4.982933844E+02 4.987928375E+02
 4.992928329E+02 4.997928284E+02 5.002928240E+02 5.007928197E+02 5.012927332E+02
 5.017928112E+02
