    4    0 4.500000000E+09
  330    0    0    0    0    0    0    0    0
 5.402937810E+02 5.403410417E+02 5.403825387E+02 5.404168905E+02 5.404483902E+02
 5.404726189E+02 5.404910220E+02 5.405035794E+02 5.405102640E+02 5.405110492E+02
 5.405063530E+02 5.404947832E+02 5.404776792E+02 5.404545536E+02 5.404253761E+02
 5.403901651E+02 5.403487951E+02 5.403012434E+02 5.402474913E+02 5.401875582E+02
 5.401213724E+02 5.400488985E+02 5.399702164E+02 5.398850672E+02 5.397935189E+02
 5.396953860E+02 5.395909148E+02 5.394799286E+02 5.393623870E+02 5.392382490E+02
 5.391074724E+02 5.389700142E+02 5.388258305E+02 5.386748764E+02 5.385171059E+02
 5.383524718E+02 5.381809258E+02 5.380024183E+02 5.378172140E+02 5.376246453E+02
 5.374246102E+02 5.372177330E+02 5.370036245E+02 5.367822266E+02 5.365534786E+02
 5.363173188E+02 5.360736827E+02 5.358225042E+02 5.355637149E+02 5.352972441E+02
 5.350230190E+02 5.347409645E+02 5.344510030E+02 5.341536608E+02 5.338476680E+02
 5.335328615E+02 5.332104439E+02 5.328796908E+02 5.325405085E+02 5.321927990E+02
 5.318364623E+02 5.314713942E+02 5.310974872E+02 5.307155294E+02 5.303234662E+02
 5.299225784E+02 5.295111987E+02 5.290913655E+02 5.286619780E+02 5.282229053E+02
 5.277740126E+02 5.273163794E+02 5.268474767E+02 5.263683271E+02 5.258774237E+02
 5.253772961E+02 5.248664775E+02 5.243448145E+02 5.238137217E+02 5.232711737E+02
 5.227206568E+02 5.221465817E+02 5.215683381E+02 5.209783107E+02 5.203961236E+02
 0.000000000E+00-2.152962750E-02-4.110346625E-02-6.066542520E-02-8.018246082E-02
-9.968865135E-02-1.191041051E-01-1.384548927E-01-1.577030189E-01-1.768275710E-01
-1.958586342E-01-2.147907350E-01-2.336170965E-01-2.523469089E-01-2.709791809E-01
-2.895232253E-01-3.079805672E-01-3.263413585E-01-3.446068478E-01-3.627892545E-01
-3.808842653E-01-3.988949914E-01-4.151692166E-01-4.346734239E-01-4.524443506E-01
-4.701394539E-01-4.877615881E-01-5.053077299E-01-5.227823657E-01-5.401875013E-01
-5.575239756E-01-5.747945681E-01-5.919998237E-01-6.091426116E-01-6.262240675E-01
-6.417697004E-01-6.602082150E-01-6.771149307E-01-6.939655255E-01-7.107615100E-01
-7.260556182E-01-7.441969557E-01-7.608390023E-01-7.774320319E-01-7.939805228E-01
-8.104816887E-01-8.269396575E-01-8.433550709E-01-8.597315669E-01-8.760687333E-01
-8.923591389E-01-9.086172271E-01-9.248385678E-01-9.410260148E-01-9.571787115E-01
-9.733003742E-01-9.893900865E-01-1.005451873E+00-1.021485101E+00-1.037491710E+00
-1.053470711E+00-1.069440238E+00-1.085363540E+00-1.101275184E+00-1.117163326E+00
-1.133049086E+00-1.148889192E+00-1.164724493E+00-1.180540158E+00-1.196360079E+00
-1.212142640E+00-1.227924526E+00-1.243700308E+00-1.259477239E+00-1.275216296E+00
-1.290966299E+00-1.306715685E+00-1.322471882E+00-1.338191013E+00-1.353922522E+00
-1.369680584E+00-1.385425746E+00-1.401144650E+00-1.416883398E+00-1.432665066E+00
-1.448398614E+00-1.464165502E+00-1.479935783E+00-1.495752944E+00-1.511536263E+00
-1.527354799E+00-1.543198219E+00-1.559072798E+00-1.574913289E+00-1.590796208E+00
-1.606741450E+00-1.622685761E+00-1.638610744E+00-1.654588060E+00-1.670639328E+00
-1.686639814E+00-1.702704173E+00-1.718810552E+00-1.734959837E+00-1.751075981E+00
-1.767062089E+00-1.783522873E+00-1.799735491E+00-1.816023144E+00-1.832361895E+00
-1.848746872E+00-1.865099094E+00-1.880893368E+00-1.898000413E+00-1.914502619E+00
-1.931043968E+00-1.946720163E+00-1.964233962E+00-1.980884542E+00-1.996466230E+00
-2.014289092E+00-2.031033722E+00-2.047813067E+00-2.064613901E+00-2.081495124E+00
-2.098313715E+00-2.115193364E+00-2.132115135E+00-2.149038715E+00-2.165928128E+00
-2.182854057E+00-2.199822191E+00-2.216751869E+00-2.233649619E+00-2.250562289E+00
-2.267474317E+00-2.284340149E+00-2.301160802E+00-2.317964245E+00-2.334713196E+00
-2.351412931E+00-2.368053585E+00-2.384626275E+00-2.401125549E+00-2.417551798E+00
-2.433890388E+00-2.450128942E+00-2.466277911E+00-2.482326482E+00-2.498285883E+00
-2.514105487E+00-2.529807749E+00-2.545420282E+00-2.560883852E+00-2.576216546E+00
-2.591385765E+00-2.606440826E+00-2.621362936E+00-2.636175511E+00-2.650822231E+00
-2.665292051E+00-2.679683155E+00-2.693902089E+00-2.707974837E+00-2.721913259E+00
-2.735707533E+00-2.749334694E+00-2.762853307E+00-2.776236384E+00-2.789511904E+00
-2.802628650E+00-2.815611204E+00-2.828450739E+00-2.841185453E+00-2.853797586E+00
