  100    0 4.600000000E+09
  374    0    0    0    0    0    0    0    0
 4.934647948E+02 4.939033020E+02 4.943394181E+02 4.947729384E+02 4.952042610E+02
 4.956329874E+02 4.960591157E+02 4.964826491E+02 4.969035505E+02 4.973217840E+02
 4.977359982E+02 4.981472265E+02 4.985554463E+02 4.989673556E+02 4.993717531E+02
 4.997732969E+02 5.001719615E+02 5.005677226E+02 5.009605566E+02 5.013504411E+02
 5.017337723E+02 5.021139485E+02 5.025021859E+02 5.028800707E+02 5.032549150E+02
 5.036267056E+02 5.039954304E+02 5.043610781E+02 5.047236385E+02 5.050831023E+02
 5.054341302E+02 5.057926068E+02 5.061428110E+02 5.064898492E+02 5.068337517E+02
 5.071745476E+02 5.075122417E+02 5.078468386E+02 5.081783433E+02 5.085067607E+02
 5.088320961E+02 5.091474727E+02 5.094735211E+02 5.097896658E+02 5.101027367E+02
 5.104127636E+02 5.107197560E+02 5.110237236E+02 5.113246761E+02 5.116147517E+02
 5.119175752E+02 5.122095544E+02 5.124903522E+02 5.127681887E+02 5.130678457E+02
 5.133481278E+02 5.136255344E+02 5.139000850E+02 5.141717979E+02 5.144406901E+02
 5.147067782E+02 5.149700777E+02 5.152306035E+02 5.154883697E+02 5.157433897E+02
 5.159860641E+02 5.162451471E+02 5.164922032E+02 5.167365279E+02 5.169780909E+02
 5.172170384E+02 5.174531868E+02 5.176869727E+02 5.179182090E+02 5.181469147E+02
 5.183731074E+02 5.185968035E+02 5.188180178E+02 5.190367642E+02 5.192530553E+02
 5.194559748E+02 5.196782336E+02 5.198761652E+02 5.200941511E+02 5.202983967E+02
 5.205003140E+02 5.206999149E+02 5.208972195E+02 5.210920516E+02 5.212848196E+02
 5.214753432E+02 5.216636367E+02 5.218497129E+02 5.220335832E+02 5.222034885E+02
 5.223947061E+02 5.225722454E+02 5.227474011E+02 5.229204197E+02 5.230911364E+02
 5.232599327E+02 5.234146242E+02 5.235913745E+02 5.237540275E+02 5.239145581E+02
 5.240730573E+02 5.242293650E+02 5.243838356E+02 5.245241703E+02
